DeviceID,PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
D82699,5534,WP30105,0,F,6,C1D1F1T1,1,mm,a4_121820
D82699,693,WP30105,0,F,6,C0D0F1T0,1,mm,a4_121820
D82699,14645,WP30105,0,F,6,C1D0F1T0,1,mm,a4_121820
D82699,12991,WP30105,0,F,6,C0D1F1T1,1,mm,a4_121820
D82699,8357,WP30105,0,F,7,C0D1F1T1,1,mm,a4_121820
D82699,2468,WP30105,0,F,7,C0D1F0T0,1,mm,a4_121820
D82699,7277,WP30105,0,F,7,C1D0F1T0,1,mm,a4_121820
D82699,11551,WP30105,0,F,7,C0D0F0T1,1,mm,a4_121820
D82699,16415,WP30105,0,F,7,C0D1F0T1,1,mm,a4_121820
D82699,9868,WP30105,0,F,7,C1D1F0T0,1,mm,a4_121820
D82699,14197,WP30105,0,F,7,C1D0F0T1,1,mm,a4_121820
D82699,8563,WP30105,0,F,7,C0D0F1T0,1,mm,a4_121820
D82699,5224,WP30105,0,F,7,C0D1F1T0,1,mm,a4_121820
D82699,751,WP30105,0,F,7,C1D1F1T1,1,mm,a4_121820
D82699,4163,WP30105,0,F,7,C1D0F0T0,1,mm,a4_121820
D82699,1091,WP30105,0,F,7,C0D0F1T1,0,mm,a4_121820
D82699,12887,WP30105,0,F,8,C1D0F0T1,1,mm,a4_121820
D82699,2055,WP30105,0,F,8,C1D0F0T0,1,mm,a4_121820
D82699,11445,WP30105,0,F,8,C0D1F1T1,1,mm,a4_121820
D82699,5507,WP30105,0,F,8,C0D0F1T0,1,mm,a4_121820
D82699,1040,WP30105,0,F,8,C0D0F0T1,1,mm,a4_121820
D82699,8545,WP30105,0,F,8,C1D1F1T1,1,mm,a4_121820
D82699,8811,WP30105,0,F,8,C1D0F1T0,0,mm,a4_121820
D82699,499,WP30105,0,F,8,C0D0F1T1,1,mm,a4_121820
D82699,19755,WP30105,0,F,8,C0D1F0T1,1,mm,a4_121820
D82699,12971,WP30105,0,F,8,C1D1F0T0,1,mm,a4_121820
D82699,5523,WP30105,0,F,8,C0D1F0T0,1,mm,a4_121820
D82699,14468,WP30105,0,F,8,C0D1F1T0,1,mm,a4_121820
D82699,5160,WP30105,0,F,9,C1D0F0T1,1,mm,a4_121820
D82699,6860,WP30105,0,F,9,C1D1F0T0,1,mm,a4_121820
D82699,4204,WP30105,0,F,9,C0D0F0T1,1,mm,a4_121820
D82699,2592,WP30105,0,F,9,C1D0F1T0,1,mm,a4_121820
D82699,17871,WP30105,0,F,9,C0D1F0T1,1,mm,a4_121820
D82699,3751,WP30105,0,F,9,C0D1F1T0,0,mm,a4_121820
D82699,11937,WP30105,0,F,9,C0D0F1T0,1,mm,a4_121820
D82699,7193,WP30105,0,F,9,C1D0F0T0,1,mm,a4_121820
D82699,2487,WP30105,0,F,9,C0D0F1T1,1,mm,a4_121820
D82699,2388,WP30105,0,F,9,C0D1F0T0,1,mm,a4_121820
D82699,14494,WP30105,0,F,9,C0D1F1T1,1,mm,a4_121820
D82699,11899,WP30105,0,F,9,C1D1F1T1,1,mm,a4_121820
D82699,2654,WP30105,0,F,10,C0D0F0T1,1,mm,a4_121820
D82699,9979,WP30105,0,F,10,C0D1F1T0,1,mm,a4_121820
D82699,3637,WP30105,0,F,10,C1D0F0T1,1,mm,a4_121820
D82699,11885,WP30105,0,F,10,C1D1F1T1,1,mm,a4_121820
D82699,4063,WP30105,0,F,10,C1D0F0T0,1,mm,a4_121820
D82699,7089,WP30105,0,F,10,C0D0F1T1,1,mm,a4_121820
D82699,5521,WP30105,0,F,10,C0D1F0T0,0,mm,a4_121820
D82699,19710,WP30105,0,F,10,C0D0F1T0,1,mm,a4_121820
D82699,2069,WP30105,0,F,10,C1D0F1T0,1,mm,a4_121820
D82699,14542,WP30105,0,F,10,C0D1F1T1,1,mm,a4_121820
D82699,8475,WP30105,0,F,10,C1D1F0T0,1,mm,a4_121820
D82699,17879,WP30105,0,F,10,C0D1F0T1,1,mm,a4_121820
D82699,8272,WP30105,0,F,11,C1D0F0T1,1,mm,a4_121820
D82699,8784,WP30105,0,F,11,C1D1F0T0,1,mm,a4_121820
D82699,16492,WP30105,0,F,11,C0D0F1T0,1,mm,a4_121820
D82699,3828,WP30105,0,F,11,C0D1F1T1,1,mm,a4_121820
D82699,8493,WP30105,0,F,11,C0D1F1T0,1,mm,a4_121820
D82699,19924,WP30105,0,F,11,C0D1F0T1,1,mm,a4_121820
D82699,2547,WP30105,0,F,11,C1D0F1T0,0,mm,a4_121820
D82699,5463,WP30105,0,F,11,C0D1F0T0,1,mm,a4_121820
D82699,8841,WP30105,0,F,11,C0D0F0T1,1,mm,a4_121820
D82699,11823,WP30105,0,F,11,C1D1F1T1,1,mm,a4_121820
