PenId,WellPlateID,WellPlateIndex,WellRow,WellColumn,Barcode,ExportCount,Species,BarcodeSet
19773,WP30105,0,C,9,C1D1F1T1,1,mm,a4_121820
13061,WP30105,0,C,9,C1D0F0T1,0,mm,a4_121820
1356,WP30105,0,C,9,C0D1F1T0,1,mm,a4_121820
8519,WP30105,0,C,9,C1D0F1T0,1,mm,a4_121820
7562,WP30105,0,C,9,C0D0F0T1,1,mm,a4_121820
9408,WP30105,0,C,9,C1D0F0T0,1,mm,a4_121820
16208,WP30105,0,C,9,C0D1F0T1,1,mm,a4_121820
17782,WP30105,0,C,9,C0D1F1T1,1,mm,a4_121820
1185,WP30105,0,C,10,C0D0F0T1,1,mm,a4_121820
12563,WP30105,0,C,10,C0D1F1T0,0,mm,a4_121820
721,WP30105,0,C,10,C1D0F1T0,1,mm,a4_121820
7573,WP30105,0,C,10,C0D0F1T1,1,mm,a4_121820
8683,WP30105,0,C,10,C1D1F0T0,1,mm,a4_121820
17768,WP30105,0,C,10,C0D1F0T1,1,mm,a4_121820
12512,WP30105,0,C,10,C1D0F0T0,1,mm,a4_121820
7338,WP30105,0,C,10,C0D1F1T1,1,mm,a4_121820
